iter	Passed	Remaining
0	10	10391
1	20	10050
2	31	10319
3	40	10200
4	50	9967
5	61	10159
6	71	10203
7	80	9986
8	88	9765
9	98	9752
10	107	9657
11	115	9504
12	123	9387
13	131	9282
14	141	9269
15	148	9131
16	157	9085
17	164	8964
18	172	8922
19	180	8828
20	189	8840
21	197	8774
22	205	8723
23	214	8714
24	224	8774
25	233	8735
26	242	8723
27	250	8697
28	259	8678
29	269	8718
30	278	8718
31	287	8687
32	295	8658
33	304	8659
34	313	8636
35	322	8648
36	332	8641
37	340	8619
38	349	8606
39	357	8587
40	365	8557
41	374	8538
42	385	8568
43	393	8550
44	401	8530
45	411	8540
46	420	8531
47	430	8529
48	438	8507
49	447	8495
50	456	8499
51	465	8481
52	473	8453
53	481	8436
54	489	8413
55	497	8386
56	505	8362
57	513	8334
58	521	8317
59	529	8288
60	536	8265
61	545	8246
62	553	8227
63	561	8211
64	570	8206
65	583	8253
66	593	8260
67	602	8255
68	613	8273
69	624	8294
70	633	8294
71	643	8291
72	652	8290
73	661	8280
74	672	8294
75	681	8289
76	690	8277
77	700	8284
78	710	8281
79	719	8269
80	727	8255
81	737	8251
82	747	8253
83	756	8244
84	765	8242
85	774	8235
86	784	8233
87	795	8239
88	805	8247
89	816	8250
90	826	8258
91	835	8249
92	845	8245
93	854	8235
94	865	8244
95	875	8241
96	885	8247
97	895	8242
98	905	8239
99	914	8228
100	923	8218
101	932	8212
102	943	8214
103	952	8210
104	961	8198
105	972	8198
106	981	8191
107	992	8197
108	1004	8208
109	1014	8205
110	1024	8205
111	1035	8213
112	1045	8207
113	1054	8194
114	1064	8193
115	1074	8185
116	1082	8171
117	1091	8157
118	1100	8147
119	1111	8151
120	1121	8145
121	1130	8138
122	1139	8125
123	1148	8113
124	1156	8095
125	1165	8085
126	1174	8071
127	1184	8068
128	1193	8056
129	1201	8042
130	1213	8051
131	1224	8051
132	1234	8044
133	1242	8032
134	1252	8022
135	1262	8022
136	1273	8020
137	1281	8007
138	1291	7998
139	1301	7992
140	1310	7981
141	1320	7981
142	1328	7964
143	1339	7964
144	1348	7951
145	1357	7937
146	1366	7929
147	1374	7914
148	1384	7908
149	1392	7893
150	1401	7882
151	1412	7879
152	1422	7875
153	1432	7871
154	1441	7858
155	1449	7842
156	1457	7825
157	1465	7809
158	1473	7794
159	1481	7779
160	1489	7764
161	1498	7749
162	1506	7735
163	1513	7716
164	1521	7699
165	1528	7681
166	1536	7663
167	1544	7650
168	1553	7639
169	1561	7622
170	1568	7604
171	1577	7592
172	1586	7582
173	1594	7570
174	1602	7555
175	1613	7553
176	1624	7552
177	1634	7546
178	1644	7540
179	1657	7552
180	1669	7554
181	1680	7552
182	1690	7547
183	1701	7543
184	1710	7533
185	1720	7531
186	1729	7520
187	1739	7513
188	1750	7511
189	1759	7502
190	1769	7494
191	1792	7544
192	1801	7533
193	1810	7522
194	1818	7509
195	1827	7498
196	1836	7486
197	1845	7474
198	1853	7459
199	1861	7444
200	1868	7428
201	1876	7412
202	1883	7396
203	1891	7380
204	1898	7363
205	1906	7348
206	1913	7330
207	1921	7314
208	1928	7299
209	1936	7283
210	1943	7267
211	1950	7251
212	1957	7234
213	1966	7220
214	1974	7209
215	1982	7196
216	1990	7182
217	1998	7168
218	2005	7152
219	2013	7137
220	2020	7121
221	2027	7106
222	2035	7091
223	2043	7077
224	2050	7063
225	2058	7049
226	2065	7034
227	2073	7022
228	2082	7012
229	2090	7000
230	2098	6985
231	2106	6971
232	2113	6958
233	2121	6944
234	2128	6930
235	2137	6918
236	2145	6906
237	2153	6894
238	2160	6880
239	2169	6869
240	2177	6857
241	2185	6845
242	2193	6832
243	2200	6818
244	2209	6807
245	2216	6794
246	2224	6781
247	2232	6768
248	2240	6757
249	2248	6744
250	2255	6730
251	2263	6718
252	2271	6707
253	2279	6695
254	2287	6683
255	2295	6671
256	2303	6660
257	2312	6649
258	2319	6637
259	2328	6627
260	2336	6616
261	2344	6605
262	2352	6592
263	2361	6583
264	2370	6575
265	2380	6568
266	2390	6562
267	2398	6552
268	2408	6544
